SeqNo,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13
1,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
2,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
3,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
4,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
5,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
6,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
7,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.8,21.6
8,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
9,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.8,21.6
10,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.8,21.6
11,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.8,21.6
12,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
13,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
14,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
15,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
16,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
17,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
18,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
19,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
20,0,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
21,11955,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
22,12001,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
23,12001,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
24,12001,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
25,12001,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
26,12001,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
27,12001,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
28,12001,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
29,12001,22.3,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
30,12001,22.35,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
31,12001,22.4,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
32,12001,22.4,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
33,12001,22.45,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
34,12001,22.5,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
35,12001,22.5,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
36,12001,22.5,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
37,12001,22.55,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.1,22,21.9,21.6
38,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.15,22,21.9,21.6
39,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22,21.9,21.6
40,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22,21.9,21.6
41,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22,21.9,21.6
42,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22,21.9,21.6
43,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22,21.9,21.6
44,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22,21.9,21.6
45,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22,21.9,21.6
46,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22.1,21.9,21.6
47,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22.1,21.9,21.6
48,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22.1,21.9,21.6
49,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22.1,21.9,21.6
50,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22.1,21.9,21.6
51,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22.1,21.9,21.6
52,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.3,23.2,22.1,21.9,21.6
53,12001,22.6,22.3,22.3,22.3,22.4,22.9,22.3,22.2,23.2,22.1,21.9,21.6
54,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.3,22.2,23.2,22.1,21.9,21.6
55,12001,22.6,22.2,22.2,22.3,22.4,22.9,22.3,22.2,23.2,22.1,21.9,21.6
