No.,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,Output
1,0.0,23.5,23.6,23.6,23.6,23.8,24.3,23.6,23.5,22.6,23.3,23.1,22.3,-0.3
2,0.0,23.5,23.5,23.6,23.6,23.8,24.3,23.6,23.5,22.6,23.3,23.1,22.3,-0.21428571428571427
3,0.0,23.5,23.5,23.6,23.6,23.8,24.3,23.6,23.5,22.6,23.3,23.2,22.3,-0.3
4,0.0,23.5,23.6,23.6,23.6,23.8,24.3,23.6,23.5,22.6,23.3,23.2,22.3,-0.54
5,0.0,23.5,23.5,23.6,23.6,23.8,24.3,23.6,23.5,22.6,23.3,23.2,22.4,-0.6
6,0.0,23.5,23.5,23.6,23.6,23.8,24.3,23.6,23.5,22.7,23.3,23.2,22.3,0.0
7,0.0,23.5,23.5,23.5,23.6,23.8,24.3,23.6,23.5,22.6,23.3,23.2,22.3,-0.45
8,0.0,23.5,23.5,23.5,23.6,23.8,24.2,23.6,23.5,22.6,23.3,23.2,22.4,-0.39999999999999997
9,0.0,23.5,23.5,23.5,23.6,23.8,24.2,23.6,23.5,22.6,23.3,23.2,22.3,-0.3
10,0.0,23.5,23.5,23.5,23.6,23.8,24.3,23.6,23.5,22.6,23.3,23.2,22.4,-0.3
11,0.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.6,23.3,23.2,22.4,-0.18947368421052632
12,0.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.6,23.3,23.2,22.3,-0.22499999999999998
13,0.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.7,23.3,23.2,22.4,-0.24
14,0.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.7,23.3,23.3,22.4,-0.25
15,0.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.7,23.4,23.2,22.4,-0.32307692307692304
16,0.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.7,23.4,23.3,22.4,0.09411764705882356
17,7999.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.7,23.4,23.3,22.4,6.4
18,8000.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.7,23.4,23.3,22.4,6.6
19,7999.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.7,23.4,23.3,22.5,7.2
20,8000.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.7,23.4,23.3,22.5,7.449999999999999
21,7999.0,23.5,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.4,23.3,22.5,7.9
22,7999.0,23.6,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.4,23.3,22.5,8.81
23,8000.0,23.6,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.7,23.4,23.3,22.5,7.75
24,8000.0,23.6,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.4,23.3,22.5,8.790476190476191
25,7999.0,23.6,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.5,23.3,22.5,9.65
26,8000.0,23.6,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.5,23.3,22.5,10.4
27,7999.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.5,23.3,22.5,10.4
28,8000.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.5,23.3,22.5,10.58
29,8000.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.5,23.4,22.5,10.7
30,7999.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.5,23.4,22.6,10.55
31,8000.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.5,23.3,22.6,11.5
32,8000.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.5,23.4,22.6,10.4
33,7999.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.8,23.5,23.3,22.6,11.75
34,8000.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.5,23.3,22.6,11.6
35,7999.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.5,23.3,22.6,11.6
36,8000.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.5,23.4,22.6,12.65
37,7999.0,23.7,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.5,23.4,22.6,12.8
38,8000.0,23.8,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.5,23.4,22.6,13.11111111111111
39,7999.0,23.8,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.5,23.4,22.6,13.36
40,8000.0,23.8,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.4,22.6,14.1
41,7999.0,23.8,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.4,22.6,13.7
42,8000.0,23.8,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.5,22.6,14.2
43,7999.0,23.8,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.5,22.6,14.033333333333333
44,8000.0,23.8,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.5,23.5,22.6,14.7
45,7999.0,23.9,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.5,22.6,14.925
46,8000.0,23.9,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.5,22.6,14.85
47,7999.0,23.9,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.5,22.7,15.5
48,8000.0,23.9,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.5,22.7,14.8
49,7999.0,23.9,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.6,22.7,16.3
50,8000.0,23.9,23.5,23.5,23.6,23.8,24.3,23.5,23.5,22.9,23.6,23.6,22.7,16.025
51,7999.0,23.9,23.5,23.5,23.6,23.8,24.3,23.5,23.5,23.0,23.6,23.6,22.7,16.5
52,8000.0,24.0,23.6,23.5,23.6,23.8,24.3,23.5,23.6,23.0,23.6,23.6,22.7,17.46
53,7999.0,24.0,23.6,23.5,23.6,23.8,24.3,23.5,23.6,23.0,23.6,23.6,22.7,17.7
54,7999.0,24.0,23.6,23.5,23.7,23.8,24.3,23.5,23.5,23.0,23.6,23.7,22.7,17.85
55,8000.0,24.0,23.5,23.5,23.6,23.8,24.3,23.5,23.6,23.0,23.6,23.7,22.7,18.0
56,7999.0,24.0,23.5,23.5,23.6,23.8,24.3,23.5,23.6,23.0,23.6,23.7,22.7,17.7
57,8000.0,24.0,23.5,23.5,23.6,23.8,24.3,23.5,23.5,23.0,23.6,23.7,22.7,18.24
58,7999.0,24.0,23.5,23.5,23.6,23.8,24.3,23.5,23.5,23.0,23.6,23.7,22.7,18.3
59,7999.0,24.0,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.0,23.6,23.7,22.7,19.0
60,8000.0,24.0,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.0,23.6,23.7,22.7,18.95
61,8000.0,24.0,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.0,23.7,23.7,22.7,19.4
62,7999.0,24.0,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.0,23.7,23.7,22.7,19.9
63,7999.0,24.0,23.6,23.6,23.6,23.8,24.3,23.5,23.6,23.0,23.6,23.7,22.7,19.5
64,8000.0,24.0,23.6,23.6,23.6,23.8,24.3,23.5,23.6,23.0,23.6,23.7,22.7,19.9
65,8000.0,24.1,23.6,23.5,23.7,23.8,24.3,23.5,23.6,23.0,23.6,23.7,22.7,19.9
66,8000.0,24.1,23.6,23.5,23.7,23.8,24.3,23.5,23.6,23.0,23.7,23.7,22.7,19.35
67,7999.0,24.1,23.6,23.5,23.7,23.8,24.3,23.5,23.6,23.0,23.7,23.7,22.7,19.966666666666665
68,7999.0,24.1,23.6,23.5,23.7,23.8,24.3,23.5,23.6,23.0,23.6,23.7,22.7,19.5
69,8000.0,24.1,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.0,23.7,23.7,22.7,20.65
70,7999.0,24.1,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.0,23.7,23.7,22.7,20.8
71,8000.0,24.1,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.7,22.7,20.95
72,7999.0,24.1,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.7,22.7,20.62
73,7999.0,24.1,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.8,22.7,21.3
74,8000.0,24.1,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.8,22.7,21.22
75,8000.0,24.1,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.8,22.8,22.085714285714285
76,7999.0,24.1,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.8,22.8,22.33
77,8000.0,24.2,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.8,22.8,22.642857142857142
78,7999.0,24.2,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.8,22.8,22.6
79,7999.0,24.2,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.9,22.8,23.533333333333335
80,8000.0,24.2,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.7,23.9,22.8,23.5375
81,8000.0,24.2,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.8,23.9,22.8,24.53125
82,7999.0,24.2,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.1,23.8,23.9,22.8,24.45
83,7999.0,24.2,23.6,23.6,23.7,23.8,24.3,23.5,23.6,23.2,23.8,23.9,22.8,24.4
