Seq,MLP_13-128-256-128-1_0.8_mean,MLP_13-128-256-128-1_0.8_median,MLP_13-128-256-128-1_0.9_mean,MLP_13-128-256-256-256-128-1_mean,,Average output
1,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
2,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
3,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
4,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
5,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
6,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
7,2.819832325,-0.026237428,0.512207687,0.970664978,,1.069116891
8,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
9,2.819832325,-0.026237428,0.512207687,0.970664978,,1.069116891
10,2.819832325,-0.026237428,0.512207687,0.970664978,,1.069116891
11,2.819832325,-0.026237428,0.512207687,0.970664978,,1.069116891
12,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
13,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
14,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
15,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
16,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
17,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
18,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
19,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
20,2.389365196,-0.010343552,-0.004091883,0.829967737,,0.801224375
21,2.574225903,-0.243074656,4.321436882,-0.027270628,,1.656329375
22,2.595340729,-0.240771726,4.341785908,-0.025917817,,1.667609274
23,2.595340729,-0.240771726,4.341785908,-0.025917817,,1.667609274
24,2.595340729,-0.240771726,4.341785908,-0.025917817,,1.667609274
25,2.595340729,-0.240771726,4.341785908,-0.025917817,,1.667609274
26,2.595340729,-0.240771726,4.341785908,-0.025917817,,1.667609274
27,2.595340729,-0.240771726,4.341785908,-0.025917817,,1.667609274
28,2.595340729,-0.240771726,4.341785908,-0.025917817,,1.667609274
29,2.595340729,-0.240771726,4.341785908,-0.025917817,,1.667609274
30,2.861382008,-0.020574426,4.801614761,0.548069477,,2.047622955
31,3.246716499,1.006962061,5.22018671,1.290118456,,2.690995931
32,3.246716499,1.006962061,5.22018671,1.290118456,,2.690995931
33,3.662858009,2.160468578,5.607843399,2.051125526,,3.370573878
34,4.086219788,3.412384033,6.027783871,2.395404339,,3.980448008
35,4.086219788,3.412384033,6.027783871,2.395404339,,3.980448008
36,4.086219788,3.412384033,6.027783871,2.395404339,,3.980448008
37,4.53309679,4.61275959,6.456211567,2.81583643,,4.604476094
38,4.957847118,6.091423035,6.825973511,3.249924183,,5.281291962
39,4.912552357,6.369668484,6.760836124,3.257748127,,5.325201273
40,4.912552357,6.369668484,6.760836124,3.257748127,,5.325201273
41,4.912552357,6.369668484,6.760836124,3.257748127,,5.325201273
42,4.912552357,6.369668484,6.760836124,3.257748127,,5.325201273
43,4.912552357,6.369668484,6.760836124,3.257748127,,5.325201273
44,4.912552357,6.369668484,6.760836124,3.257748127,,5.325201273
45,4.912552357,6.369668484,6.760836124,3.257748127,,5.325201273
46,4.953286171,6.217756748,6.730863094,3.38371563,,5.321405411
47,4.953286171,6.217756748,6.730863094,3.38371563,,5.321405411
48,4.953286171,6.217756748,6.730863094,3.38371563,,5.321405411
49,4.953286171,6.217756748,6.730863094,3.38371563,,5.321405411
50,4.953286171,6.217756748,6.730863094,3.38371563,,5.321405411
51,4.953286171,6.217756748,6.730863094,3.38371563,,5.321405411
52,4.953286171,6.217756748,6.730863094,3.38371563,,5.321405411
53,4.890964031,5.009762764,6.669716358,2.518508434,,4.772237897
54,5.434121132,4.050862312,7.006869793,3.413216114,,4.976267338
55,5.434121132,4.050862312,7.006869793,3.413216114,,4.976267338
56,5.434121132,4.050862312,7.006869793,3.413216114,,4.976267338
57,5.434121132,4.050862312,7.006869793,3.413216114,,4.976267338
58,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
59,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
60,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
61,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
62,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
63,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
64,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
65,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
66,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
67,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
68,4.878517628,2.810245037,6.582528591,3.346890926,,4.404545546
69,5.402266026,3.834568024,7.020347118,3.785930634,,5.01077795
70,5.93300581,4.820883274,7.463088036,4.277915478,,5.623723149
71,5.93300581,4.820883274,7.463088036,4.277915478,,5.623723149
72,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
73,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
74,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
75,5.93300581,4.820883274,7.463088036,4.277915478,,5.623723149
76,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
77,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
78,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
79,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
80,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
81,6.353029728,5.444295883,7.801378727,4.699566841,,6.074567795
82,6.353029728,5.444295883,7.801378727,4.699566841,,6.074567795
83,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
84,6.353029728,5.444295883,7.801378727,4.699566841,,6.074567795
85,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
86,5.904928207,4.512444496,7.541210175,4.313509941,,5.568023205
87,6.353029728,5.444295883,7.801378727,4.699566841,,6.074567795
88,6.353029728,5.444295883,7.801378727,4.699566841,,6.074567795
89,6.360219479,5.677401066,7.803808689,4.837762833,,6.169798017
90,6.353029728,5.444295883,7.801378727,4.699566841,,6.074567795
91,6.31455183,5.920737743,7.7360425,4.798876762,,6.192552209
92,6.252837181,5.965841293,7.720356941,4.652149677,,6.147796273
93,6.2051301,5.82380867,7.624473572,4.834010601,,6.121855736
94,6.269696712,6.11706686,7.667200565,4.774817944,,6.20719552
95,6.224843025,6.299869061,7.599023819,4.750763893,,6.21862495
96,6.181556225,6.482681751,7.530848503,4.726706505,,6.230448246
97,6.181556225,6.482681751,7.530848503,4.726706505,,6.230448246
98,5.724981308,5.744055271,7.202217102,4.135829449,,5.701770782
99,6.181556225,6.482681751,7.530848503,4.726706505,,6.230448246
100,6.139275074,6.665484428,7.462584496,4.704579353,,6.242980838
101,6.646649837,7.901131153,7.836402893,5.060192108,,6.861093998
102,7.205507755,8.805410385,8.27826786,5.461791039,,7.43774426
103,7.205507755,8.805410385,8.27826786,5.461791039,,7.43774426
104,7.205507755,8.805410385,8.27826786,5.461791039,,7.43774426
105,7.205507755,8.805410385,8.27826786,5.461791039,,7.43774426
106,7.205507755,8.805410385,8.27826786,5.461791039,,7.43774426
107,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
108,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
109,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
110,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
111,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
112,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
113,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
114,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
115,7.158792019,8.312736511,8.250479698,5.233587265,,7.238898873
116,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
117,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
118,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
119,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
120,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
121,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
122,7.158792019,8.312736511,8.250479698,5.233587265,,7.238898873
123,7.158792019,8.312736511,8.250479698,5.233587265,,7.238898873
124,7.129055023,8.688035965,8.228722572,5.699820518,,7.43640852
125,7.755731106,9.157371521,8.692397118,5.617150307,,7.805662513
126,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
127,8.339928627,9.625160217,9.133955956,6.141434193,,8.310119748
128,8.339928627,9.625160217,9.133955956,6.141434193,,8.310119748
129,8.339928627,9.625160217,9.133955956,6.141434193,,8.310119748
130,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
131,8.339928627,9.625160217,9.133955956,6.141434193,,8.310119748
132,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
133,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
134,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
135,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
136,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
137,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
138,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
139,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
140,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
141,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
142,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
143,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
144,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
145,8.272313118,9.708141327,9.16439724,6.951143265,,8.523998737
